"user_id","status_id","created_at","screen_name","text","source","verified","city","domain"
"x980086351","x1072590726620430336","2018-12-11 20:35:31+00","KVB_Info","Linie 9 * Folgende Fahrt entfällt * (H) Königsforst 21:41h - (H) Ostheim 21:49h - (H) Bf Deutz/Messe 21:57h - (H) Neumarkt 22:03h - (H) Zülpicher Platz 22:08h - (H) Universität 22:12h - (H) Zülpicher Str. 22:17h - (H) Sülz Hermeskeiler Platz 22:19h * https://t.co/WpLZmV7buf","MOFIS Tweets","f","koeln","train"
"x980086351","x1072590225015226368","2018-12-11 20:33:32+00","KVB_Info","Linie 7 * Folgende Fahrt entfällt * (H) Frechen Benzelrath 21:31h - (H) Haus Vorst 21:41h - (H) Dürener Str. 21:50h - (H) Aachener Str. 21:53h - (H) Moltkestr. 21:58h - (H) Neumarkt 22:04h - (H) Deutzer Freiheit 22:08h - (H) Salmstr. 22:16h - (H)... https://t.co/EUYnQ2nlW6","MOFIS Tweets","f","koeln","train"
"x871704365186375680","x1072579928221196288","2018-12-11 19:52:37+00","VbbInfo","#M29 Grunewald, Roseneck hat 11 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 20:52 11.12.18","VBBInfo","f","berlin","train"
"x728236310","x1072579290569555968","2018-12-11 19:50:05+00","VIZ_Berlin","#A111 stadteinwärts #TunnelTegelOrtskern #gesperrt. Hier werden #Straßenschäden bis vsl. morgen früh ca. 05:00 Uhr beseitigt. Der Verkehr wird an der AS Waidmannsluster Damm abgeleitet.","Hootsuite Inc.","f","berlin","traffic"
"x980086351","x1072578900532826112","2018-12-11 19:48:32+00","KVB_Info","Linie 12 * Folgende Fahrt entfällt * (H) Merkenich 20:40h - (H) Niehl 20:49h - (H) Wilhelm-Sollmann-Str. 20:52h - (H) Neusser Str. 20:56h - (H) Ebertplatz 21:04h - (H) Rudolfplatz 21:08h - (H) Barbarossaplatz 21:13h - (H) Eifelstr. 21:15h - (H)... https://t.co/b0R4sGroQr","MOFIS Tweets","f","koeln","train"
"x871704365186375680","x1072578193230581760","2018-12-11 19:45:43+00","VbbInfo","#260 U RUDOW -&gt; U7 ZWICKAUER DAMM hat 19 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 20:45 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072578188872683520","2018-12-11 19:45:42+00","VbbInfo","#M8 Ahrensfelde/Stadtgrenze hat 6 Minuten Verspätung https://t.co/2bJrYq31do #BVG 20:45 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072578191120916480","2018-12-11 19:45:42+00","VbbInfo","#M5 S+U Hauptbahnhof hat 5 Minuten Verspätung https://t.co/2bJrYq31do #BVG 20:45 11.12.18","VBBInfo","f","berlin","train"
"x980086351","x1072578145352671232","2018-12-11 19:45:32+00","KVB_Info","Linie 15 * Folgende Fahrt entfällt * (H) Chorweiler 21:04h - (H) Longericher Str. 21:09h - (H) Wilhelm-Sollmann-Str. 21:14h - (H) Neusser Str. 21:18h - (H) Ebertplatz 21:26h - (H) Rudolfplatz 21:32h - (H) Barbarossaplatz 21:35h - (H) Eifelstr. 21:37h -... https://t.co/ERNVcI9ufS","MOFIS Tweets","f","koeln","train"
"x980086351","x1072578144153014272","2018-12-11 19:45:31+00","KVB_Info","Linie 3 * Folgende Fahrt entfällt * (H) Thielenbruch 20:54h - (H) Vischeringstr. 21:00h - (H) Herler Str. 21:03h - (H) Stegerwaldsiedlung 21:09h - (H) BF Deutz/LANXESS arena 21:13h - (H) Neumarkt 21:21h - (H) Friesenplatz 21:25h - (H) Venloer Str.... https://t.co/8jAOy3YoFp","MOFIS Tweets","f","koeln","train"
"x871704365186375680","x1.072577412117e+18","2018-12-11 19:42:37+00","VbbInfo","#21 S+U Lichtenberg/Gudrunstraße hat 7 Minuten Verspätung https://t.co/2bJrYq31do #BVG 20:42 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072577414268628992","2018-12-11 19:42:37+00","VbbInfo","#200 Prenzlauer Berg, Michelangelostr. hat 18 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 20:42 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072575665646567424","2018-12-11 19:35:40+00","VbbInfo","#621 Stahnsdorf Enzianweg hat 12 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 20:35 11.12.18","VBBInfo","f","berlin","train"
"x980086351","x1072566567932710912","2018-12-11 18:59:31+00","KVB_Info","Linie 3 * Folgende Fahrt entfällt * (H) Thielenbruch 19:43h - (H) Vischeringstr. 19:49h - (H) Herler Str. 19:52h - (H) Stegerwaldsiedlung 19:58h - (H) BF Deutz/LANXESS arena 20:02h - (H) Neumarkt 20:10h - (H) Friesenplatz 20:14h - (H) Venloer Str.... https://t.co/QaszTGGSzx","MOFIS Tweets","f","koeln","train"
"x980086351","x1.07256581313e+18","2018-12-11 18:56:31+00","KVB_Info","Linie 15 * Folgende Fahrt entfällt * (H) Ubierring 20:06h - (H) Chlodwigplatz 20:08h - (H) Eifelstr. 20:12h - (H) Barbarossaplatz 20:14h - (H) Rudolfplatz 20:17h - (H) Ebertplatz 20:24h - (H) Neusser Str. 20:29h - (H) Wilhelm-Sollmann-Str. 20:34h - (H)... https://t.co/AlLgpfcG6X","MOFIS Tweets","f","koeln","train"
