"latitude","longtitude","Downloadrate"
52.53,13.23,6868
52.53,13.23,6868
52.53,13.23,6868
52.53,13.23,6868
52.53,13.23,6868
52.53,13.23,6868
52.53,13.23,11652
52.53,13.23,11652
52.53,13.23,11652
52.53,13.23,11652
52.53,13.23,11652
52.53,13.23,11652
52.53,13.23,18487
52.53,13.23,18487
52.53,13.23,18487
52.53,13.23,18487
52.53,13.23,18487
52.53,13.23,18487
52.53,13.23,23009
52.53,13.23,23009
52.53,13.23,23009
52.53,13.23,23009
52.53,13.23,23009
52.53,13.23,23009
52.53,13.23,23711
52.53,13.23,23711
52.53,13.23,23711
52.53,13.23,23711
52.53,13.23,23711
52.53,13.23,23711
52.53,13.23,24698
52.53,13.23,24698
52.53,13.23,24698
52.53,13.23,24698
52.53,13.23,24698
52.53,13.23,24698
52.53,13.23,31113
52.53,13.23,31113
52.53,13.23,31113
52.53,13.23,31113
52.53,13.23,31113
52.53,13.23,31113
52.53,13.23,37327
52.53,13.23,37327
52.53,13.23,37327
52.53,13.23,37327
52.53,13.23,37327
52.53,13.23,37327
52.53,13.23,7635
52.53,13.23,7635
52.53,13.23,7635
52.53,13.23,7635
52.53,13.23,7635
52.53,13.23,8635
52.53,13.23,8635
52.53,13.23,8635
52.53,13.23,8635
52.53,13.23,8635
52.53,13.23,8875
52.53,13.23,8875
52.53,13.23,8875
52.53,13.23,8875
52.53,13.23,8875
52.53,13.23,9819
52.53,13.23,9819
52.53,13.23,9819
52.53,13.23,9819
52.53,13.23,9819
52.53,13.23,10009
52.53,13.23,10009
52.53,13.23,10009
52.53,13.23,10009
52.53,13.23,10009
52.22,13.23,10533
52.22,13.23,10533
52.22,13.23,10533
52.22,13.23,10533
52.22,13.23,10533
52.22,13.23,11817
52.22,13.23,11817
52.22,13.23,11817
52.22,13.23,11817
52.22,13.23,11817
52.22,13.23,25636
52.22,13.23,25636
52.22,13.23,25636
52.22,13.23,25636
52.22,13.23,25636
52.21,13.23,25885
52.21,13.23,25885
52.21,13.23,25885
52.21,13.23,25885
52.21,13.23,25885
52.22,13.23,26265
52.22,13.23,26265
52.22,13.23,26265
52.22,13.23,26265
52.22,13.23,26265
52.21,13.23,29390
52.21,13.23,29390
52.21,13.23,29390
52.21,13.23,29390
52.21,13.23,29390
52.21,13.23,31040
52.21,13.23,31040
52.21,13.23,31040
52.21,13.23,31040
52.21,13.23,31040
52.22,13.23,32074
52.22,13.23,32074
52.22,13.23,32074
52.22,13.23,32074
52.22,13.23,32074
52.53,13.23,2011
52.53,13.23,2011
52.53,13.23,2011
52.53,13.23,2011
52.53,13.23,3022
52.53,13.23,3022
52.53,13.23,3022
52.53,13.23,3022
52.53,13.23,3022
52.53,13.23,3182
52.53,13.23,3182
52.53,13.23,3182
52.53,13.23,3182
52.53,13.23,3552
52.53,13.23,3552
52.53,13.23,3552
52.53,13.23,3552
52.53,13.23,3560
52.53,13.23,3560
52.53,13.23,3560
52.53,13.23,3560
52.53,13.23,3904
52.53,13.23,3904
52.53,13.23,3904
52.53,13.23,3904
52.53,13.23,3904
52.53,13.23,4320
52.53,13.23,4320
52.53,13.23,4320
52.53,13.23,4320
52.53,13.23,4320
52.53,13.23,4414
52.53,13.23,4414
52.53,13.23,4414
52.53,13.23,4414
52.53,13.23,8541
52.53,13.23,8541
52.53,13.23,8541
52.53,13.23,8541
52.53,13.23,8541
52.53,13.23,9626
52.53,13.23,9626
52.53,13.23,9626
52.53,13.23,9626
52.53,13.23,9626
52.21,13.23,15600
52.21,13.23,15600
52.21,13.23,15600
52.21,13.23,15600
52.21,13.23,15600
52.22,13.23,16819
52.22,13.23,16819
52.22,13.23,16819
52.22,13.23,16819
52.22,13.23,16819
52.22,13.23,20740
52.22,13.23,20740
52.22,13.23,20740
52.22,13.23,20740
52.22,13.23,20740
52.22,13.23,22035
52.22,13.23,22035
52.22,13.23,22035
52.22,13.23,22035
52.22,13.23,22035
52.22,13.23,23477
52.22,13.23,23477
52.22,13.23,23477
52.22,13.23,23477
52.22,13.23,23477
52.21,13.23,24452
52.21,13.23,24452
52.21,13.23,24452
52.21,13.23,24452
52.21,13.23,24452
52.22,13.23,26118
52.22,13.23,26118
52.22,13.23,26118
52.22,13.23,26118
52.22,13.23,26118
48.61,13.23,6240
48.61,13.23,6240
48.62,13.23,8978
48.62,13.23,8978
48.61,13.23,9138
48.61,13.23,9138
48.61,13.23,13262
48.61,13.23,13262
48.62,13.23,13842
48.62,13.23,13842
51.31,13.23,5458
51.31,13.23,5458
51.31,13.23,5458
51.31,13.23,5458
51.31,13.23,5908
51.31,13.23,5908
51.31,13.23,5908
51.31,13.23,5908
51.31,13.23,6124
51.31,13.23,6124
51.31,13.23,6124
51.31,13.23,6124
51.31,13.23,6237
51.31,13.23,6237
51.31,13.23,6237
51.31,13.23,6237
51.31,13.23,6517
51.31,13.23,6517
51.31,13.23,6517
51.31,13.23,6517
52.22,13.23,6940
52.22,13.23,6940
52.22,13.23,6940
52.22,13.23,6940
