"";"sensor_id";"sensor_type";"location";"lat";"lon";"timestamp";"P1";"P2";"P0"
"51";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:14:57;"4.75";"3.75";"3.50"
"52";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:20:01;"5.00";"4.40";"2.80"
"53";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:25:06;"6.60";"5.20";"3.80"
"54";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:30:10;"5.25";"4.25";"3.25"
"55";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:35:13;"8.00";"5.60";"3.80"
"56";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:40:17;"5.75";"5.75";"3.50"
"57";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:45:20;"4.60";"4.60";"2.60"
"58";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:50:24;"5.75";"5.75";"3.00"
"59";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 04:55:27;"6.60";"5.40";"3.40"
"60";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:00:31;"4.00";"4.00";"2.50"
"61";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:05:35;"5.00";"5.00";"3.75"
"62";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:10:38;"5.40";"4.40";"2.60"
"63";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:15:42;"4.50";"4.00";"2.25"
"64";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:20:45;"4.80";"4.80";"3.20"
"65";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:25:49;"5.80";"5.80";"2.80"
"66";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:30:52;"5.25";"5.25";"3.25"
"67";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:35:56;"5.60";"5.60";"2.60"
"68";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:40:59;"7.00";"4.25";"3.50"
"69";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:46:03;"7.20";"5.00";"4.00"
"70";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:51:06;"7.75";"6.00";"3.25"
"71";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 05:56:09;"4.80";"4.60";"2.60"
"72";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:01:13;"7.25";"7.25";"4.50"
"73";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:06:16;"4.60";"4.60";"2.40"
"74";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:11:20;"6.00";"5.75";"3.75"
"75";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:16:23;"4.00";"4.00";"2.50"
"76";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:21:27;"14.20";"13.80";"9.60"
"77";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:26:30;"18.50";"17.00";"12.50"
"78";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:31:33;"13.40";"13.40";"9.80"
"79";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:36:37;"16.25";"15.00";"9.50"
"80";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:41:40;"14.25";"14.00";"9.50"
"81";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:46:44;"11.20";"11.20";"8.20"
"82";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:51:47;"14.25";"13.50";"10.00"
"83";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 06:56:51;"14.20";"12.80";"7.60"
"84";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:01:54;"13.25";"12.25";"8.00"
"85";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:06:58;"13.80";"13.80";"9.40"
"86";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:12:01;"21.50";"20.00";"13.50"
"87";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:17:05;"15.40";"15.20";"10.80"
"88";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:22:08;"13.00";"12.50";"7.50"
"89";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:27:12;"11.40";"8.80";"6.80"
"90";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:32:15;"11.50";"9.75";"6.00"
"91";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:37:19;"7.00";"6.60";"4.60"
"92";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:42:22;"8.00";"7.75";"4.75"
"93";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:47:26;"6.60";"6.00";"4.00"
"94";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:52:29;"8.00";"7.00";"3.25"
"95";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 07:57:33;"7.00";"7.00";"4.40"
"96";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:02:36;"6.75";"5.75";"4.25"
"97";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:07:40;"4.40";"4.40";"3.40"
"98";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:12:43;"5.50";"5.50";"3.50"
"99";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:17:47;"6.80";"5.60";"3.80"
"100";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:22:50;"5.25";"5.25";"3.75"
"101";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:27:54;"7.80";"6.60";"3.00"
"102";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:32:57;"5.00";"5.00";"4.50"
"103";14880;"PMS7003";7533;"51.278";"12.588";2018-10-01 08:38:01;"7.00";"6.20";"3.40"
